"Subject","Mot","Hem","Axis","LearningRate","AxisIncrease"
"AB1","SomMotA","LH","Explicit",0.0884234793516983,-0.0414
"AB1","SomMotA","LH","Implicit",0.0884234793516983,0.1025
"AB1","SomMotA","LH","Performance",0.0884234793516983,-0.0112
"AB1","SomMotA","RH","Explicit",0.0884234793516983,-0.0356
"AB1","SomMotA","RH","Implicit",0.0884234793516983,0.3465
"AB1","SomMotA","RH","Performance",0.0884234793516983,-0.0919
"AB1","SomMotB","LH","Explicit",0.0884234793516983,-0.049
"AB1","SomMotB","LH","Implicit",0.0884234793516983,0.0274
"AB1","SomMotB","LH","Performance",0.0884234793516983,-0.007
"AB1","SomMotB","RH","Explicit",0.0884234793516983,-0.046
"AB1","SomMotB","RH","Implicit",0.0884234793516983,-0.0318
"AB1","SomMotB","RH","Performance",0.0884234793516983,-0.0487
"AG1","SomMotA","LH","Explicit",0.20520721817212,0.0064
"AG1","SomMotA","LH","Implicit",0.20520721817212,-0.0262
"AG1","SomMotA","LH","Performance",0.20520721817212,0.1802
"AG1","SomMotA","RH","Explicit",0.20520721817212,-0.1535
"AG1","SomMotA","RH","Implicit",0.20520721817212,0.1033
"AG1","SomMotA","RH","Performance",0.20520721817212,-0.027
"AG1","SomMotB","LH","Explicit",0.20520721817212,-0.0924
"AG1","SomMotB","LH","Implicit",0.20520721817212,0.0359
"AG1","SomMotB","LH","Performance",0.20520721817212,0.0283
"AG1","SomMotB","RH","Explicit",0.20520721817212,-0.0344
"AG1","SomMotB","RH","Implicit",0.20520721817212,0.0318
"AG1","SomMotB","RH","Performance",0.20520721817212,0.0508
"AH1","SomMotA","LH","Explicit",-0.0366956462765468,-0.132
"AH1","SomMotA","LH","Implicit",-0.0366956462765468,-0.0938
"AH1","SomMotA","LH","Performance",-0.0366956462765468,-0.1636
"AH1","SomMotA","RH","Explicit",-0.0366956462765468,-0.1035
"AH1","SomMotA","RH","Implicit",-0.0366956462765468,0.2729
"AH1","SomMotA","RH","Performance",-0.0366956462765468,0.061
"AH1","SomMotB","LH","Explicit",-0.0366956462765468,-0.0838
"AH1","SomMotB","LH","Implicit",-0.0366956462765468,0.0225
"AH1","SomMotB","LH","Performance",-0.0366956462765468,-0.1152
"AH1","SomMotB","RH","Explicit",-0.0366956462765468,-0.0497
"AH1","SomMotB","RH","Implicit",-0.0366956462765468,-0.0147
"AH1","SomMotB","RH","Performance",-0.0366956462765468,-0.1801
"AM1","SomMotA","LH","Explicit",0.0544525447104904,-0.1208
"AM1","SomMotA","LH","Implicit",0.0544525447104904,0.033
"AM1","SomMotA","LH","Performance",0.0544525447104904,0.1866
"AM1","SomMotA","RH","Explicit",0.0544525447104904,0.1381
"AM1","SomMotA","RH","Implicit",0.0544525447104904,-0.2706
"AM1","SomMotA","RH","Performance",0.0544525447104904,0.174
"AM1","SomMotB","LH","Explicit",0.0544525447104904,-0.1477
"AM1","SomMotB","LH","Implicit",0.0544525447104904,0.0364
"AM1","SomMotB","LH","Performance",0.0544525447104904,0.1457
"AM1","SomMotB","RH","Explicit",0.0544525447104904,-0.0655
"AM1","SomMotB","RH","Implicit",0.0544525447104904,0.0381
"AM1","SomMotB","RH","Performance",0.0544525447104904,0.132
"AP1","SomMotA","LH","Explicit",0.0536992566309275,-0.132
"AP1","SomMotA","LH","Implicit",0.0536992566309275,0.1102
"AP1","SomMotA","LH","Performance",0.0536992566309275,-0.2005
"AP1","SomMotA","RH","Explicit",0.0536992566309275,-0.4439
"AP1","SomMotA","RH","Implicit",0.0536992566309275,0.0104
"AP1","SomMotA","RH","Performance",0.0536992566309275,0.1092
"AP1","SomMotB","LH","Explicit",0.0536992566309275,-0.0959
"AP1","SomMotB","LH","Implicit",0.0536992566309275,0.0395
"AP1","SomMotB","LH","Performance",0.0536992566309275,0.0587
"AP1","SomMotB","RH","Explicit",0.0536992566309275,-0.0303
"AP1","SomMotB","RH","Implicit",0.0536992566309275,0.017
"AP1","SomMotB","RH","Performance",0.0536992566309275,0.0268
"AV1","SomMotA","LH","Explicit",0.508816280109864,-0.2022
"AV1","SomMotA","LH","Implicit",0.508816280109864,0.2318
"AV1","SomMotA","LH","Performance",0.508816280109864,-0.1056
"AV1","SomMotA","RH","Explicit",0.508816280109864,0.0966
"AV1","SomMotA","RH","Implicit",0.508816280109864,0.0223
"AV1","SomMotA","RH","Performance",0.508816280109864,-0.1065
"AV1","SomMotB","LH","Explicit",0.508816280109864,-0.0217
"AV1","SomMotB","LH","Implicit",0.508816280109864,0.0221
"AV1","SomMotB","LH","Performance",0.508816280109864,-0.1492
"AV1","SomMotB","RH","Explicit",0.508816280109864,0.0144
"AV1","SomMotB","RH","Implicit",0.508816280109864,0.1077
"AV1","SomMotB","RH","Performance",0.508816280109864,0.0808
"BN1","SomMotA","LH","Explicit",0.697236664927556,0.1073
"BN1","SomMotA","LH","Implicit",0.697236664927556,0.082
"BN1","SomMotA","LH","Performance",0.697236664927556,0.129
"BN1","SomMotA","RH","Explicit",0.697236664927556,0.1308
"BN1","SomMotA","RH","Implicit",0.697236664927556,0.1382
"BN1","SomMotA","RH","Performance",0.697236664927556,0.0046
"BN1","SomMotB","LH","Explicit",0.697236664927556,-0.0898
"BN1","SomMotB","LH","Implicit",0.697236664927556,0.0296
"BN1","SomMotB","LH","Performance",0.697236664927556,-0.0912
"BN1","SomMotB","RH","Explicit",0.697236664927556,-0.0478
"BN1","SomMotB","RH","Implicit",0.697236664927556,-0.048
"BN1","SomMotB","RH","Performance",0.697236664927556,-0.1223
"CD1","SomMotA","LH","Explicit",0.111102902450133,-0.0533
"CD1","SomMotA","LH","Implicit",0.111102902450133,0.1713
"CD1","SomMotA","LH","Performance",0.111102902450133,0.1266
"CD1","SomMotA","RH","Explicit",0.111102902450133,-0.3448
"CD1","SomMotA","RH","Implicit",0.111102902450133,-0.0617
"CD1","SomMotA","RH","Performance",0.111102902450133,0.0467
"CD1","SomMotB","LH","Explicit",0.111102902450133,-0.1028
"CD1","SomMotB","LH","Implicit",0.111102902450133,0.0339
"CD1","SomMotB","LH","Performance",0.111102902450133,0.0245
"CD1","SomMotB","RH","Explicit",0.111102902450133,-0.0355
"CD1","SomMotB","RH","Implicit",0.111102902450133,0.0213
"CD1","SomMotB","RH","Performance",0.111102902450133,0.0538
"CG1","SomMotA","LH","Explicit",0.0397037837532763,-0.103
"CG1","SomMotA","LH","Implicit",0.0397037837532763,0.1766
"CG1","SomMotA","LH","Performance",0.0397037837532763,0.0404
"CG1","SomMotA","RH","Explicit",0.0397037837532763,-0.2131
"CG1","SomMotA","RH","Implicit",0.0397037837532763,0.2004
"CG1","SomMotA","RH","Performance",0.0397037837532763,0.0885
"CG1","SomMotB","LH","Explicit",0.0397037837532763,-0.0923
