"Label","Network","Coarsenet","Axis","Loading"
"17Networks_LH_VisCent_ExStr_1","VisCent","Visual","Implicit",0.000117920780165015
"17Networks_LH_VisCent_ExStr_2","VisCent","Visual","Implicit",-0.000211488695920265
"17Networks_LH_VisCent_ExStr_3","VisCent","Visual","Implicit",5.43027343067803e-05
"17Networks_LH_VisCent_ExStr_4","VisCent","Visual","Implicit",-0.000230905484534951
"17Networks_LH_VisCent_ExStr_5","VisCent","Visual","Implicit",-0.000354593970490137
"17Networks_LH_VisCent_ExStr_6","VisCent","Visual","Implicit",-0.000659207794858728
"17Networks_LH_VisCent_Striate_1","VisCent","Visual","Implicit",-0.000797215327933161
"17Networks_LH_VisCent_ExStr_7","VisCent","Visual","Implicit",-0.000715481758606345
"17Networks_LH_VisCent_ExStr_8","VisCent","Visual","Implicit",-0.000879343287009918
"17Networks_LH_VisCent_ExStr_9","VisCent","Visual","Implicit",-0.000287646557426545
"17Networks_LH_VisCent_ExStr_10","VisCent","Visual","Implicit",-0.000687765468057092
"17Networks_LH_VisCent_ExStr_11","VisCent","Visual","Implicit",-0.000458010441887223
"17Networks_LH_VisPeri_ExStrInf_1","VisPeri","Visual","Implicit",7.82605293864738e-05
"17Networks_LH_VisPeri_ExStrInf_2","VisPeri","Visual","Implicit",6.69974382297139e-05
"17Networks_LH_VisPeri_ExStrInf_3","VisPeri","Visual","Implicit",6.21914578109579e-05
"17Networks_LH_VisPeri_ExStrInf_4","VisPeri","Visual","Implicit",0.000372134038817291
"17Networks_LH_VisPeri_ExStrInf_5","VisPeri","Visual","Implicit",-0.00025408912759395
"17Networks_LH_VisPeri_StriCal_1","VisPeri","Visual","Implicit",-0.000398957722668951
"17Networks_LH_VisPeri_StriCal_2","VisPeri","Visual","Implicit",-0.00023734340145615
"17Networks_LH_VisPeri_ExStrSup_1","VisPeri","Visual","Implicit",-0.000469348265741479
"17Networks_LH_VisPeri_ExStrSup_2","VisPeri","Visual","Implicit",-0.000207562303592208
"17Networks_LH_VisPeri_ExStrSup_3","VisPeri","Visual","Implicit",-0.000243254351760146
"17Networks_LH_VisPeri_ExStrSup_4","VisPeri","Visual","Implicit",-0.000213085846373867
"17Networks_LH_VisPeri_ExStrSup_5","VisPeri","Visual","Implicit",-0.000302495505917382
"17Networks_LH_DorsAttnA_TempOcc_1","DorsAttnA","DorsAttn","Implicit",-0.0290510341883019
"17Networks_LH_DorsAttnA_TempOcc_2","DorsAttnA","DorsAttn","Implicit",-0.000749083493662466
"17Networks_LH_DorsAttnA_TempOcc_3","DorsAttnA","DorsAttn","Implicit",-0.0101085741830718
"17Networks_LH_DorsAttnA_TempOcc_4","DorsAttnA","DorsAttn","Implicit",-0.0233711082486461
"17Networks_LH_DorsAttnA_ParOcc_1","DorsAttnA","DorsAttn","Implicit",-0.020754250631792
"17Networks_LH_DorsAttnA_ParOcc_2","DorsAttnA","DorsAttn","Implicit",-0.0164239374476726
"17Networks_LH_DorsAttnA_SPL_1","DorsAttnA","DorsAttn","Implicit",-0.0228641168828577
"17Networks_LH_DorsAttnA_SPL_2","DorsAttnA","DorsAttn","Implicit",-0.00980391641513567
"17Networks_LH_DorsAttnA_SPL_3","DorsAttnA","DorsAttn","Implicit",-0.0374566944997764
"17Networks_LH_DorsAttnA_SPL_4","DorsAttnA","DorsAttn","Implicit",-0.0229031231536439
"17Networks_LH_DorsAttnA_SPL_5","DorsAttnA","DorsAttn","Implicit",0.00176013208957254
"17Networks_LH_DorsAttnA_SPL_6","DorsAttnA","DorsAttn","Implicit",-0.0137785877735408
"17Networks_LH_DorsAttnA_SPL_7","DorsAttnA","DorsAttn","Implicit",-0.00951659342875696
"17Networks_LH_DorsAttnB_PostC_1","DorsAttnB","DorsAttn","Implicit",0.000774348664519166
"17Networks_LH_DorsAttnB_PostC_2","DorsAttnB","DorsAttn","Implicit",0.0159382163319202
"17Networks_LH_DorsAttnB_PostC_3","DorsAttnB","DorsAttn","Implicit",-0.00590055243706298
"17Networks_LH_DorsAttnB_PostC_4","DorsAttnB","DorsAttn","Implicit",0.0871152459390459
"17Networks_LH_DorsAttnB_PostC_5","DorsAttnB","DorsAttn","Implicit",-0.0561084671161365
"17Networks_LH_DorsAttnB_PostC_6","DorsAttnB","DorsAttn","Implicit",0.14160304684761
"17Networks_LH_DorsAttnB_PostC_7","DorsAttnB","DorsAttn","Implicit",-0.0004731453444392
"17Networks_LH_DorsAttnB_PostC_8","DorsAttnB","DorsAttn","Implicit",0.135886657732822
"17Networks_LH_DorsAttnB_PostC_9","DorsAttnB","DorsAttn","Implicit",0.092817522899853
"17Networks_LH_DorsAttnB_FEF_1","DorsAttnB","DorsAttn","Implicit",0.0555438600855216
"17Networks_LH_DorsAttnB_FEF_2","DorsAttnB","DorsAttn","Implicit",0.123163703145591
"17Networks_LH_DorsAttnB_FEF_3","DorsAttnB","DorsAttn","Implicit",0.00985116248918617
"17Networks_LH_DorsAttnB_PrCv_1","DorsAttnB","DorsAttn","Implicit",0.0204665864035985
"17Networks_LH_SalVentAttnA_ParOper_1","SalVentAttnA","VentAttn","Implicit",0.0225429162404652
"17Networks_LH_SalVentAttnA_ParOper_2","SalVentAttnA","VentAttn","Implicit",-0.00383853985553934
"17Networks_LH_SalVentAttnA_ParOper_3","SalVentAttnA","VentAttn","Implicit",-0.0064773851370669
"17Networks_LH_SalVentAttnA_Ins_1","SalVentAttnA","VentAttn","Implicit",-0.00608932808968251
"17Networks_LH_SalVentAttnA_Ins_2","SalVentAttnA","VentAttn","Implicit",-0.000551844054705346
"17Networks_LH_SalVentAttnA_Ins_3","SalVentAttnA","VentAttn","Implicit",-0.0129576108645917
"17Networks_LH_SalVentAttnA_Ins_4","SalVentAttnA","VentAttn","Implicit",0.00616677162146772
"17Networks_LH_SalVentAttnA_FrOper_1","SalVentAttnA","VentAttn","Implicit",-0.000208488210064353
"17Networks_LH_SalVentAttnA_FrOper_2","SalVentAttnA","VentAttn","Implicit",-0.00858318046766101
"17Networks_LH_SalVentAttnA_ParMed_1","SalVentAttnA","VentAttn","Implicit",-0.00690082422722584
"17Networks_LH_SalVentAttnA_ParMed_2","SalVentAttnA","VentAttn","Implicit",-0.00668675145837579
"17Networks_LH_SalVentAttnA_ParMed_3","SalVentAttnA","VentAttn","Implicit",-0.00587131590467935
"17Networks_LH_SalVentAttnA_FrMed_1","SalVentAttnA","VentAttn","Implicit",0.00149886630354506
"17Networks_LH_SalVentAttnA_FrMed_2","SalVentAttnA","VentAttn","Implicit",0.00251085433638066
"17Networks_LH_SalVentAttnA_FrMed_3","SalVentAttnA","VentAttn","Implicit",0.00888061439501554
"17Networks_LH_SalVentAttnB_PFCl_1","SalVentAttnB","VentAttn","Implicit",-0.0135418217232377
"17Networks_LH_SalVentAttnB_PFCl_2","SalVentAttnB","VentAttn","Implicit",-0.013607233994891
