"Subject","Parameter","Value"
"AB1","m",164.613839629685
"AG1","m",83.6975963129892
"AH1","m",108.102721137356
"AM1","m",179.156329802772
"AP1","m",116.563770495964
"AV1","m",81.8308306128141
"BN1","m",83.9461128381268
"CD1","m",139.144326602477
"CG1","m",111.362432152192
"CH1","m",126.500110520145
"CK1","m",141.949986722528
"CM1","m",106.712173875311
"CM2","m",76.1817901374425
"CS1","m",160.580298291113
"EH1","m",92.5012938648116
"EK1","m",214.357205675345
"HK1","m",89.634302282415
"HS1","m",71.2860238880275
"JC1","m",101.752678411766
"JH1","m",114.038131114856
"JM1","m",170.570879916135
"JR1","m",119.248096321878
"KK1","m",67.2789009381117
"KP1","m",109.95634004025
"KR1","m",111.498595693599
"LB1","m",244.874514754951
"MB1","m",92.314032591228
"MG1","m",90.0868221462336
"MP1","m",90.5394406098226
"NW1","m",175.046431953604
"SK1","m",263.477831223063
"SM2","m",111.254824085417
"SR1","m",99.9990335091043
"UP1","m",84.8586933736505
"WK1","m",69.0499869680231
"ZN1","m",79.1076430249515
"AB1","L",-0.225831495433759
"AG1","L",-0.269354650348989
"AH1","L",-0.239197229991559
"AM1","L",-0.30295436774987
"AP1","L",-0.218189037782513
"AV1","L",-0.293576687715851
"BN1","L",-0.399561558865612
"CD1","L",-0.276334506511154
"CG1","L",-0.378905134307625
"CH1","L",-0.188026347286225
"CK1","L",-0.404073968629159
"CM1","L",-0.272720098635604
"CM2","L",-0.335594858588097
"CS1","L",-0.422594384105124
"EH1","L",-0.410216742017963
"EK1","L",-0.27659938143765
"HK1","L",-0.290678849845049
"HS1","L",-0.496002209432707
"JC1","L",-0.216083248757132
"JH1","L",-0.337417248633297
"JM1","L",-0.156867622114956
"JR1","L",-0.0877580932117341
"KK1","L",-0.130342117315485
"KP1","L",-0.262700114103262
"KR1","L",-0.258104526514835
"LB1","L",-0.260770225682296
"MB1","L",-0.193737639906567
"MG1","L",-0.179167122435743
"MP1","L",-0.208062786983088
"NW1","L",-0.282853131160146
"SK1","L",-0.142002565132354
"SM2","L",-0.145327690012716
"SR1","L",-0.295652549669291
"UP1","L",-0.242526136117398
"WK1","L",-0.344374138708114
"ZN1","L",-0.326361112114104
"AB1","U",-0.0532865154541342
"AG1","U",-0.0037303728869179
"AH1","U",-0.0947347954831895
"AM1","U",0.0155377257270479
"AP1","U",0.0979379616791756
"AV1","U",0.0496287079656387
"BN1","U",0.0961037897598169
"CD1","U",-0.0369913353186746
"CG1","U",-0.00459357098733489
"CH1","U",-0.101503208740252
"CK1","U",0.112977243799017
"CM1","U",0.0180661710256897
"CM2","U",0.072153609974442
"CS1","U",0.164359452410276
"EH1","U",-0.212270463633636
"EK1","U",0.0994798420188555
"HK1","U",-0.0911498646560568
"HS1","U",0.0633955977531747
"JC1","U",-0.052156113129183
"JH1","U",0.180460010910198
"JM1","U",0.0230403538342063
"JR1","U",-0.00741429850386665
"KK1","U",-0.250371163804621
"KP1","U",0.100916160874478
"KR1","U",0.141756899415288
"LB1","U",0.0248764207216211
"MB1","U",-0.0263703420842269
"MG1","U",0.0968698470558058
"MP1","U",0.0413374329052383
"NW1","U",-0.0743146730129187
"SK1","U",0.387756502018905
"SM2","U",0.137961729301828
"SR1","U",-0.0563868001649652
"UP1","U",0.0141520353504141
"WK1","U",0.0805937511781595
"ZN1","U",-0.0396087766277152
"AB1","k",0.0884234793516983
"AG1","k",0.20520721817212
"AH1","k",-0.0366956462765468
"AM1","k",0.0544525447104904
"AP1","k",0.0536992566309275
"AV1","k",0.508816280109864
"BN1","k",0.697236664927556
"CD1","k",0.111102902450133
"CG1","k",0.0397037837532763
"CH1","k",-0.0551023724558681
"CK1","k",0.236587648570268
"CM1","k",0.166919991890102
"CM2","k",0.439901643865129
"CS1","k",0.441780145151412
"EH1","k",-0.017197570811835
"EK1","k",0.1079043909578
"HK1","k",0.198105541685748
"HS1","k",0.110801343828374
"JC1","k",0.375742800228706
"JH1","k",0.306921196515136
"JM1","k",-0.0272088856034958
"JR1","k",-0.112230083837024
"KK1","k",0.0342533477213385
"KP1","k",0.111890294966281
"KR1","k",0.25642104126088
"LB1","k",0.241472053557571
"MB1","k",0.206676702148628
"MG1","k",0.348977530019687
"MP1","k",0.220330683026463
"NW1","k",0.485068372609108
"SK1","k",0.660286754841151
"SM2","k",0.190146274808634
"SR1","k",-0.0602199330418513
"UP1","k",0.591855397272516
"WK1","k",0.386442063810617
"ZN1","k",0.380440924064425
