"Subject","Epoch","Phase","Time"
"AB1","Pre-learning","RT",0.506074904542467
"AB1","Learning","RT",0.467922096142526
"AB1","Post-learning","RT",0.425807513922872
"AG1","Pre-learning","RT",0.635300504055238
"AG1","Learning","RT",0.494433675764057
"AG1","Post-learning","RT",0.444609859731734
"AH1","Pre-learning","RT",0.333284563028594
"AH1","Learning","RT",0.363722086258584
"AH1","Post-learning","RT",0.366242153846032
"AM1","Pre-learning","RT",0.362848850682816
"AM1","Learning","RT",0.314720154509372
"AM1","Post-learning","RT",0.37148860715114
"AP1","Pre-learning","RT",0.394173832302109
"AP1","Learning","RT",0.494255006792031
"AP1","Post-learning","RT",0.511563281591316
"AV1","Pre-learning","RT",0.352504799081047
"AV1","Learning","RT",0.369851822794628
"AV1","Post-learning","RT",0.332226354954821
"BN1","Pre-learning","RT",0.443077926074703
"BN1","Learning","RT",0.409941149333652
"BN1","Post-learning","RT",0.348565762569861
"CD1","Pre-learning","RT",0.312761512278956
"CD1","Learning","RT",0.318052777961759
"CD1","Post-learning","RT",0.316117810754986
"CG1","Pre-learning","RT",0.488722731666165
"CG1","Learning","RT",0.576543602004435
"CG1","Post-learning","RT",0.496318071978363
"CH1","Pre-learning","RT",0.479843952495795
"CH1","Learning","RT",0.466128272518243
"CH1","Post-learning","RT",0.408260403818879
"CK1","Pre-learning","RT",0.591771111057268
"CK1","Learning","RT",0.520044865082502
"CK1","Post-learning","RT",0.512595423512119
"CM1","Pre-learning","RT",0.391991979403428
"CM1","Learning","RT",0.534052637276589
"CM1","Post-learning","RT",0.558337214014266
"CM2","Pre-learning","RT",0.388405312986292
"CM2","Learning","RT",0.360982585227056
"CM2","Post-learning","RT",0.372340480608057
"CS1","Pre-learning","RT",0.590016548896203
"CS1","Learning","RT",0.354024734382364
"CS1","Post-learning","RT",0.474863569455377
"EH1","Pre-learning","RT",0.536327952636892
"EH1","Learning","RT",0.421902325825973
"EH1","Post-learning","RT",0.422923473150181
"EK1","Pre-learning","RT",0.48422823207306
"EK1","Learning","RT",0.505286029583309
"EK1","Post-learning","RT",0.495434376348005
"HK1","Pre-learning","RT",0.41744648951331
"HK1","Learning","RT",0.411346038013769
"HK1","Post-learning","RT",0.435809637104669
"HS1","Pre-learning","RT",0.44085003279192
"HS1","Learning","RT",0.374884664092528
"HS1","Post-learning","RT",0.369587601353876
"JC1","Pre-learning","RT",0.394366393258427
"JC1","Learning","RT",0.312713824599671
"JC1","Post-learning","RT",0.273638938914665
"JH1","Pre-learning","RT",0.419939170496268
"JH1","Learning","RT",0.500263798119614
"JH1","Post-learning","RT",0.385421854543024
"JM1","Pre-learning","RT",0.365785509400226
"JM1","Learning","RT",0.400029086188777
"JM1","Post-learning","RT",0.368156548899703
"JR1","Pre-learning","RT",0.410515844850623
"JR1","Learning","RT",0.379779892346921
"JR1","Post-learning","RT",0.41890843998979
"KK1","Pre-learning","RT",0.31850386182471
"KK1","Learning","RT",0.312741874744143
"KK1","Post-learning","RT",0.340618895293893
"KP1","Pre-learning","RT",0.417215275417478
"KP1","Learning","RT",0.411969544381867
"KP1","Post-learning","RT",0.365834432065982
"KR1","Pre-learning","RT",0.431071687838695
"KR1","Learning","RT",0.536383082611194
